date,branch,currency,cash_in_customer_receipts,cash_out_supplier_payments,net_cash_flow
05/01/2026,Imdad International Travel Agency,PKR,500,0,500
12/01/2026,Imdad International Travel Agency,PKR,900,0,900
20/01/2026,Imdad International Travel Agency,PKR,1000,0,1000
26/01/2026,Imdad International Travel Agency,PKR,1000,0,1000
03/02/2026,Imdad International Travel Agency,PKR,1000,0,1000
15/02/2026,Imdad International Travel Agency,PKR,750,0,750
20/02/2026,Imdad International Travel Agency,PKR,1400,0,1400
01/03/2026,Noble Route,AED,1900,0,1900
10/03/2026,Imdad International Travel Agency,PKR,0,2000,-2000
10/03/2026,Noble Route,USD,100,0,100
18/03/2026,Imdad International Travel Agency,PKR,0,3000,-3000
20/03/2026,Imdad International Travel Agency,PKR,1400,0,1400
,,,,,
,,,9950,5000,4950
