receipt_no,invoice_no,service_ref_or_due_group,allocated_amount,expected_remaining_receivable
RCPT-000001,BK-000001,SV-001,500,0
RCPT-000002,BK-000002,SV-001,900,150
RCPT-000003,BK-000004,SV-001,1000,500
RCPT-000004,BK-000005,SV-001,1000,2000
RCPT-000005,BK-000005,SV-001,750,1250
RCPT-000006,BK-000006,SV-001,1000,1400
RCPT-000007,BK-000006,SV-001,1400,0
RCPT-000008,BK-000011,SV-001,400,600
RCPT-000009,BK-000012,SV-001,1500,0
RCPT-000010,BK-000013,SV-001,100,200
RCPT-000011,BK-000017,SV-002,900,0
RCPT-000011,BK-000017,SV-001,500,1300
RCPT-000012,BK-000018,SV-001,500,0
